Predictor,Response,Coefficient,Standardized_Coefficient,P-value,Significant (p<0.05),Direction,R-squared,N
Major_health_care_programs_(GDP)_lag1,Female_18_to_64_Below_Poverty_Percent,0.7819432804667883,0.712026765808295,4.670165466395981e-09,True,Positive,0.5069821152274204,51
Income_security_(GDP)_lag1,Age-adjusted_Death_Rate_AllRaces_Female,-177.97857995916303,-0.7114775185193005,4.858520683088286e-09,True,Negative,0.5062002593583816,51
Social_Security_(GDP)_lag1,Male_18_to_64_Below_Poverty_Percent,1.7318609338260007,0.702245437736437,9.318517058733346e-09,True,Positive,0.49314865482164016,51
Income_security_(GDP)_lag1,Male_18_to_64_Below_Poverty_Percent,2.3243633701891593,0.6957573024650823,1.451483416754581e-08,True,Positive,0.4840782239334883,51
Income_security_(GDP)_lag1,Average_Life_Expectancy_(Years)_AllRaces_Female,3.1498054474708304,0.6948348983904423,1.5444239785283566e-08,True,Positive,0.4827955360212567,51
Income_security_(GDP)_lag1,Female_64_and_Over_Below_Poverty_Percent,-7.829024925838884,-0.6790487544728251,4.31594784573399e-08,True,Negative,0.4611072109510952,51
Income_security_(GDP)_lag1,Female_18_to_64_Below_Poverty_Percent,2.2958546827445403,0.6696738674389877,7.716366953804121e-08,True,Positive,0.44846308873069096,51
Income_security_(GDP)_lag1,Age-adjusted_Death_Rate_AllRaces_Male,-346.8450514312127,-0.6687388315825149,8.167471876256376e-08,True,Negative,0.44721162486634713,51
Income_security_(GDP)_lag1,Average_Life_Expectancy_(Years)_AllRaces_Male,4.53602111183882,0.6626555718077177,1.1762659114896372e-07,True,Positive,0.4391124068478133,51
Medicaid_(GDP)_lag1,Female_18_to_64_Below_Poverty_Percent,1.8905303750373372,0.6568027327976231,1.657859530895323e-07,True,Positive,0.4313898298104263,51
Income_security_(GDP)_lag1,Male_64_and_Over_Below_Poverty_Percent,-5.367010825596177,-0.6315432486399243,6.719331729633768e-07,True,Negative,0.39884687490266957,51
Income_security_(GDP)_lag1,Female_Under_18_Below_Poverty_Percent,3.0128866972300354,0.5256715384397901,7.457490877555913e-05,True,Positive,0.276330566325656,51
Medicare_(GDP)_lag1,Male_Under_18_Below_Poverty_Percent,1.321404730116344,0.5235213571609157,8.07763405070171e-05,True,Positive,0.27407461140360656,51
Income_security_(GDP)_lag1,Male_Under_18_Below_Poverty_Percent,2.883249219863623,0.5188148859497436,9.603064060813148e-05,True,Positive,0.2691688858830451,51
Medicare_(GDP)_lag1,Female_Under_18_Below_Poverty_Percent,1.3315968910928846,0.5115319178017141,0.00012488513338266926,True,Positive,0.26166490292989975,51
Social_Security_(GDP)_lag1,Male_Total_Below_Poverty_Percent,0.9270028552233822,0.47592726904494964,0.0004157448641997213,True,Positive,0.22650676542058412,51
Major_health_care_programs_(GDP)_lag1,Male_Under_18_Below_Poverty_Percent,0.8443197451020727,0.47428490474006263,0.00043809887589422693,True,Positive,0.22494617086428992,51
Major_health_care_programs_(GDP)_lag1,Female_Under_18_Below_Poverty_Percent,0.8516172261665726,0.4638506960822835,0.0006073649672422477,True,Positive,0.2151574682560189,51
Income_security_(GDP)_lag1,Male_Total_Below_Poverty_Percent,1.2215394691220105,0.4629614837731988,0.0006242144531909448,True,Positive,0.214333335457482,51
Medicare_(GDP)_lag1,Male_Total_Below_Poverty_Percent,0.5450839214190335,0.4548508703252645,0.0007984770534290506,True,Positive,0.20688931423565027,51
Social_Security_(GDP)_lag1,Female_Total_Below_Poverty_Percent,0.8759342458851213,0.4193364522690727,0.0021916467652624266,True,Positive,0.17584306020161278,51
Major_health_care_programs_(GDP)_lag1,Male_Total_Below_Poverty_Percent,0.348954791986213,0.41286553947740323,0.0026045057909412565,True,Positive,0.17045795368796712,51
Social_Security_(GDP)_lag1,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,0.6768244037621782,0.4056550914120105,0.003144408478025344,True,Positive,0.16455605318848632,51
Medicaid_(GDP)_lag1,Male_Under_18_Below_Poverty_Percent,1.8340167829888876,0.39306636839731046,0.004326855538393857,True,Positive,0.15450116996505014,51
Medicaid_(GDP)_lag1,Female_Under_18_Below_Poverty_Percent,1.8424625913152068,0.3828799970654134,0.0055532405324364344,True,Positive,0.14659709215281091,51
Medicaid_(GDP)_lag1,Male_Total_Below_Poverty_Percent,0.7893436167612613,0.3563163852844325,0.010277070282063247,True,Positive,0.12696136642216416,51
Income_security_(GDP)_lag1,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,0.7964710867973965,0.35239422010536126,0.011208169121891308,True,Positive,0.124181686363666,51
Income_security_(GDP)_lag1,Female_Total_Below_Poverty_Percent,0.9832029895596577,0.34746586091034426,0.012480283073790345,True,Positive,0.12073252449816718,51
Medicare_(GDP)_lag1,Female_Total_Below_Poverty_Percent,0.35967003623879384,0.2798604385164175,0.04670153743862205,True,Positive,0.07832186504660166,51
Medicare_(GDP)_lag1,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,0.26555645622734964,0.25869255334256747,0.06680641850151159,False,Positive,0.06692183715489708,51
Major_health_care_programs_(GDP)_lag1,Female_Total_Below_Poverty_Percent,0.21287614047848857,0.23485404767050716,0.09713461592684904,False,Positive,0.05515642370722085,51
Major_health_care_programs_(GDP)_lag1,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,0.1558996537056663,0.21533073543911024,0.1291379291268866,False,Positive,0.0463673256247481,51
Medicaid_(GDP)_lag1,Female_Total_Below_Poverty_Percent,0.4168047144447736,0.1754421369095283,0.2181642304101719,False,Positive,0.03077994340338186,51
Medicaid_(GDP)_lag1,All_Families_Below_Poverty_(With_and_Without_Children)_Percent,0.29658094125953405,0.15629113186110571,0.2734208151804803,False,Positive,0.02442691789842555,51
